condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
Low-pass,12000.0,"[45.285714285714285, 57.142857142857146, 51.142857142857146, 59.142857142857146, 47.57142857142857, 45.42857142857143, 42.42857142857143, 56.57142857142857, 64.71428571428571, 39.285714285714285]",50.871428571428574,2.6016260395926656,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,14500.0,"[66.42857142857143, 88.71428571428571, 72.42857142857143, 71.42857142857143, 91.42857142857143, 80.28571428571429, 63.857142857142854, 70.42857142857143, 97.28571428571429, 53.42857142857143]",75.57142857142858,4.323746590689476,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,16000.0,"[93.71428571428571, 100.0, 99.28571428571429, 99.0, 100.0, 100.0, 90.42857142857143, 99.57142857142857, 100.0, 78.57142857142857]",96.05714285714285,2.2023693693389093,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,3800.0,"[79.0, 83.0, 76.42857142857143, 78.0, 92.14285714285714, 80.42857142857143, 42.57142857142857, 73.85714285714286, 95.85714285714286, 32.0]",73.32857142857144,6.432029052517278,models/sound_localization/simplified_IHC0050/arch??
High-pass,5800.0,"[59.857142857142854, 78.42857142857143, 68.42857142857143, 62.0, 91.0, 69.57142857142857, 27.285714285714285, 59.714285714285715, 97.71428571428571, 36.57142857142857]",65.05714285714285,6.874356700473977,models/sound_localization/simplified_IHC0050/arch??
High-pass,7500.0,"[57.285714285714285, 92.28571428571429, 88.85714285714286, 57.714285714285715, 91.14285714285714, 51.857142857142854, 36.142857142857146, 72.85714285714286, 92.85714285714286, 23.714285714285715]",66.47142857142856,7.913278544589658,models/sound_localization/simplified_IHC0050/arch??
High-pass,10000.0,"[22.142857142857142, 38.142857142857146, 27.714285714285715, 24.142857142857142, 19.714285714285715, 15.857142857142858, 25.0, 25.857142857142858, 19.0, 30.0]",24.75714285714286,2.0046487921941223,models/sound_localization/simplified_IHC0050/arch??
High-pass,13200.0,"[7.571428571428571, 9.571428571428571, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 13.142857142857142, 7.142857142857143, 7.142857142857143, 10.0]",8.314285714285713,0.637028247931072,models/sound_localization/simplified_IHC0050/arch??
High-pass,15300.0,"[7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 8.714285714285714, 7.142857142857143, 7.857142857142857, 7.142857142857143, 7.142857142857143, 7.0]",7.357142857142857,0.1680217025178794,models/sound_localization/simplified_IHC0050/arch??
Low-pass,3900.0,"[15.285714285714286, 20.0, 20.857142857142858, 21.857142857142858, 20.571428571428573, 17.571428571428573, 9.428571428571429, 13.571428571428571, 24.571428571428573, 7.857142857142857]",17.15714285714286,1.7424212309403675,models/sound_localization/simplified_IHC0050/arch??
Low-pass,6000.0,"[19.285714285714285, 41.42857142857143, 16.428571428571427, 17.571428571428573, 39.857142857142854, 17.714285714285715, 20.571428571428573, 29.857142857142858, 36.42857142857143, 12.714285714285714]",25.185714285714287,3.3820286683930103,models/sound_localization/simplified_IHC0050/arch??
Low-pass,8000.0,"[20.0, 33.857142857142854, 28.428571428571427, 22.0, 30.428571428571427, 21.428571428571427, 23.714285714285715, 25.714285714285715, 25.857142857142858, 20.428571428571427]",25.185714285714287,1.4525058494306946,models/sound_localization/simplified_IHC0050/arch??
Low-pass,10300.0,"[24.285714285714285, 46.57142857142857, 33.57142857142857, 21.142857142857142, 48.0, 30.571428571428573, 27.857142857142858, 39.142857142857146, 42.0, 19.285714285714285]",33.24285714285715,3.273825973984645,models/sound_localization/simplified_IHC0050/arch??
Low-pass,12000.0,"[38.42857142857143, 77.42857142857143, 59.285714285714285, 48.857142857142854, 69.0, 48.142857142857146, 33.142857142857146, 71.14285714285714, 83.14285714285714, 26.428571428571427]",55.5,6.1652691926376635,models/sound_localization/simplified_IHC0050/arch??
Low-pass,14500.0,"[67.14285714285714, 92.0, 79.85714285714286, 71.14285714285714, 96.14285714285714, 77.85714285714286, 53.142857142857146, 87.42857142857143, 99.71428571428571, 35.285714285714285]",75.97142857142856,6.372837768568237,models/sound_localization/simplified_IHC0050/arch??
Low-pass,16000.0,"[98.57142857142857, 98.57142857142857, 95.57142857142857, 98.0, 99.0, 94.85714285714286, 74.14285714285714, 93.42857142857143, 99.85714285714286, 62.42857142857143]",91.44285714285715,4.0087461071354875,models/sound_localization/simplified_IHC0050/arch??
High-pass,3800.0,"[96.14285714285714, 88.14285714285714, 82.71428571428571, 91.71428571428571, 97.28571428571429, 96.85714285714286, 90.57142857142857, 86.42857142857143, 97.57142857142857, 50.0]",87.74285714285715,4.492917076340857,models/sound_localization/simplified_IHC0320/arch??
High-pass,5800.0,"[83.85714285714286, 89.0, 83.42857142857143, 92.42857142857143, 84.85714285714286, 90.85714285714286, 59.857142857142854, 89.0, 98.14285714285714, 40.714285714285715]",81.21428571428571,5.525789874895408,models/sound_localization/simplified_IHC0320/arch??
High-pass,7500.0,"[89.42857142857143, 84.71428571428571, 88.42857142857143, 92.28571428571429, 91.14285714285714, 88.71428571428571, 71.0, 82.42857142857143, 97.42857142857143, 47.57142857142857]",83.31428571428572,4.552928837323555,models/sound_localization/simplified_IHC0320/arch??
High-pass,10000.0,"[24.142857142857142, 20.428571428571427, 17.714285714285715, 14.428571428571429, 24.142857142857142, 27.428571428571427, 9.571428571428571, 14.428571428571429, 17.428571428571427, 13.857142857142858]",18.357142857142854,1.7736097682346372,models/sound_localization/simplified_IHC0320/arch??
High-pass,13200.0,"[7.142857142857143, 12.142857142857142, 10.0, 7.142857142857143, 7.142857142857143, 7.857142857142857, 7.142857142857143, 11.0, 7.142857142857143, 7.142857142857143]",8.385714285714286,0.6064842366061136,models/sound_localization/simplified_IHC0320/arch??
High-pass,15300.0,"[7.142857142857143, 8.571428571428571, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.285714285714286, 7.857142857142857, 7.142857142857143, 7.0]",7.357142857142857,0.1539355226213772,models/sound_localization/simplified_IHC0320/arch??
Low-pass,3900.0,"[19.428571428571427, 35.142857142857146, 17.285714285714285, 26.0, 19.428571428571427, 20.142857142857142, 11.0, 20.0, 23.285714285714285, 14.0]",20.571428571428573,2.1025845233912803,models/sound_localization/simplified_IHC0320/arch??
Low-pass,6000.0,"[24.571428571428573, 36.42857142857143, 24.857142857142858, 37.42857142857143, 26.857142857142858, 26.857142857142858, 22.571428571428573, 25.285714285714285, 30.142857142857142, 21.285714285714285]",27.628571428571426,1.729849979732622,models/sound_localization/simplified_IHC0320/arch??
